stimulus_id,word_position,word,word_clean,length,length_prev,length_prevprev,frequency,frequency_prev,frequency_prevprev,total_fixation_duration,skip_rate,surprisal_first3chars,surprisal_word,surprisal_word_prev,surprisal_word_prevprev
61,2,even,even,4.0,6.0,2.0,5.99,5.68,6.54,231.21875,0.375,3.5525547810041314,3.594408226262008,5.575442527216435,5.255517081525223
61,3,get,get,3.0,4.0,6.0,6.28,5.99,5.68,205.84375,0.375,2.413606594074846,2.4143710877545956,3.594408226262008,5.575442527216435
61,4,a,a,1.0,3.0,4.0,7.36,6.28,5.99,55.4375,0.78125,2.353514210297515,1.9727722916885675,2.4143710877545956,3.594408226262008
61,5,chance,chance,6.0,1.0,3.0,5.26,7.36,6.28,235.65625,0.21875,0.4320644403699383,0.4338882860082513,1.9727722916885675,2.4143710877545956
61,6,to,to,2.0,6.0,1.0,7.43,5.26,7.36,70.5625,0.875,0.0057132327869773,0.0057132327869773,0.4338882860082513,1.9727722916885675
61,7,do,do,2.0,2.0,6.0,6.35,7.43,5.26,179.78125,0.5625,3.8076751906865343,3.8076751906865343,0.0057132327869773,0.4338882860082513
61,8,the,the,3.0,2.0,2.0,7.73,6.35,7.43,147.78125,0.5625,1.879438629637434,1.943468484773767,3.8076751906865343,0.0057132327869773
61,9,programs,programs,8.0,3.0,2.0,4.9,7.73,6.35,277.6875,0.125,4.795741271845269,11.787679733837027,1.943468484773767,3.8076751906865343
61,10,we,we,2.0,8.0,3.0,6.54,4.9,7.73,93.21875,0.75,3.0158462336208203,3.0158462336208203,11.787679733837027,1.943468484773767
61,11,wanted,wanted,6.0,2.0,8.0,5.36,6.54,4.9,428.53125,0.03125,1.205646906242151,1.646841910857944,3.0158462336208203,11.787679733837027
61,12,to,to,2.0,6.0,2.0,7.43,5.36,6.54,155.875,0.5,0.5271157167471969,0.5271157167471969,1.646841910857944,3.0158462336208203
61,13,do.,do,2.0,2.0,6.0,6.35,7.43,5.36,67.3125,0.75,2.18287731703942,2.18287731703942,0.5271157167471969,1.646841910857944
62,0,The,the,3.0,0.0,0.0,7.73,0.0,0.0,192.78125,0.03125,3.1110667518296595,3.2821558427250777,0.0,0.0
62,1,main,main,4.0,3.0,0.0,5.24,7.73,0.0,555.09375,0.34375,6.216556883267311,6.372159354729028,3.2821558427250777,0.0
62,2,reason,reason,6.0,4.0,3.0,5.32,5.24,7.73,748.0,0.09375,2.846155913660509,2.9475876166529993,6.372159354729028,3.2821558427250777
62,3,remains,remains,7.0,6.0,4.0,4.8,5.32,5.24,721.84375,0.03125,8.49195365091286,8.856571096189755,2.9475876166529993,6.372159354729028
62,4,weather.,weather,7.0,7.0,6.0,4.87,4.8,5.32,292.0625,0.09375,8.995314791699734,13.251443699113572,8.856571096189755,2.9475876166529993
63,0,For,for,3.0,0.0,0.0,7.01,0.0,0.0,212.125,0.0,5.339471091876144,5.628322115273463,0.0,0.0
63,1,"example,",example,7.0,3.0,0.0,5.27,7.01,0.0,234.125,0.21875,4.318714258733173,4.533168847393754,5.628322115273463,0.0
63,2,in,in,2.0,7.0,3.0,7.27,5.27,7.01,72.96875,0.71875,2.6883660092917108,2.6883660092917108,4.533168847393754,5.628322115273463
63,3,the,the,3.0,2.0,7.0,7.73,7.27,5.27,106.0625,0.65625,1.619920247900561,1.6515823934861018,2.6883660092917108,4.533168847393754
63,4,Oklahoma,oklahoma,8.0,3.0,2.0,4.27,7.73,7.27,313.53125,0.21875,9.914199072567897,10.028398928715324,1.6515823934861018,2.6883660092917108
63,5,"panhandle,",panhandle,9.0,8.0,3.0,2.88,4.27,7.73,516.03125,0.0,6.635551366806645,7.610133328865803,10.028398928715324,1.6515823934861018
63,6,40%,NUM%,3.0,9.0,8.0,4.82,2.88,4.27,288.0,0.3125,8.31636076659705,8.325147702119551,7.610133328865803,10.028398928715324
63,7,or,or,2.0,3.0,9.0,6.54,4.82,2.88,220.03125,0.59375,6.0435976217170975,6.0435976217170975,8.325147702119551,7.610133328865803
63,8,more,more,4.0,2.0,3.0,6.36,6.54,4.82,317.0,0.40625,0.2623867262532826,0.2629017434472445,6.0435976217170975,8.325147702119551
63,9,of,of,2.0,4.0,2.0,7.4,6.36,6.54,155.6875,0.75,0.0367668677602139,0.0367668677602139,0.2629017434472445,6.0435976217170975
63,10,the,the,3.0,2.0,4.0,7.73,7.4,6.36,131.75,0.5625,0.9402859287405364,0.959533357589244,0.0367668677602139,0.2629017434472445
63,11,topsoil,topsoil,7.0,3.0,2.0,2.55,7.73,7.4,382.53125,0.15625,6.750194576705113,15.715183078192617,0.959533357589244,0.0367668677602139
63,12,is,is,2.0,7.0,3.0,7.07,2.55,7.73,97.0625,0.71875,1.0088396970561604,1.0088396970561604,15.715183078192617,0.959533357589244
63,13,short,short,5.0,2.0,7.0,5.33,7.07,2.55,443.84375,0.1875,7.767094679490995,10.967795520254285,1.0088396970561604,15.715183078192617
63,14,of,of,2.0,5.0,2.0,7.4,5.33,7.07,98.28125,0.84375,1.738953592643,1.738953592643,10.967795520254285,1.0088396970561604
63,15,moisture.,moisture,8.0,2.0,5.0,3.9,7.4,5.33,286.375,0.09375,4.9684553829826825,6.3736976459350245,1.738953592643,10.967795520254285
64,0,Brazil,brazil,6.0,0.0,0.0,4.58,0.0,0.0,382.8125,0.0,7.52523798194534,11.176162968864832,0.0,0.0
64,1,wants,wants,5.0,6.0,0.0,5.24,4.58,0.0,463.875,0.34375,6.08909982639288,6.273062123800846,11.176162968864832,0.0
64,2,to,to,2.0,5.0,6.0,7.43,5.24,4.58,166.9375,0.625,0.4219677329075004,0.4219677329075004,6.273062123800846,11.176162968864832
64,3,stimulate,stimulate,9.0,2.0,5.0,3.67,7.43,5.24,626.40625,0.0625,7.436094316113891,8.854395848932938,0.4219677329075004,6.273062123800846
64,4,demand,demand,6.0,9.0,2.0,4.84,3.67,7.43,520.25,0.0625,5.1856564020668685,5.49280395051829,8.854395848932938,0.4219677329075004
64,5,for,for,3.0,6.0,9.0,7.01,4.84,3.67,190.5625,0.625,0.4210812094980127,0.4218604067152043,5.49280395051829,8.854395848932938
64,6,its,its,3.0,3.0,6.0,6.14,7.01,4.84,192.8125,0.65625,1.8069515634477968,1.808541440381454,0.4218604067152043,5.49280395051829
64,7,"product,",product,7.0,3.0,3.0,4.95,6.14,7.01,298.1875,0.1875,3.707917936779481,8.175332544800845,1.808541440381454,0.4218604067152043
64,8,which,which,5.0,7.0,3.0,6.3,4.95,6.14,254.875,0.28125,2.3945768141737247,2.6458994591952063,8.175332544800845,1.808541440381454
64,9,is,is,2.0,5.0,7.0,7.07,6.3,4.95,102.15625,0.75,1.4488390214366689,1.4488390214366689,2.6458994591952063,8.175332544800845
64,10,going,going,5.0,2.0,5.0,5.94,7.07,6.3,331.53125,0.28125,7.357144729889349,7.360366839745851,1.4488390214366689,2.6458994591952063
64,11,to,to,2.0,5.0,2.0,7.43,5.94,7.07,66.03125,0.78125,1.123378835261171,1.123378835261171,7.360366839745851,1.4488390214366689
64,12,be,be,2.0,2.0,5.0,6.79,7.43,5.94,194.28125,0.6875,1.4406608255589362,1.4406608255589362,1.123378835261171,7.360366839745851
